field,nonzero,min,p50,p95,max,mean
positive_rule_count,63,0.0,0.0,0.0,14.0,0.009282793678859542
mean_explicit_open_rule_exposure,274,0.0,0.0,0.0,0.7870801393497785,0.0037417536560229274
positive_rule_norm,0,0.0,0.0,0.0,0.0,0.0
positive_rule_norm_v51,306,0.0,0.0,0.0,1.0,0.008516748842610122
mean_liminal_rule_exposure,317,0.0,0.0,0.0,1.3420959532005203,0.0029453699439548143
rule_liminal_exposure_norm,0,0.0,0.0,0.0,0.0,0.0
rule_liminal_exposure_norm_v51,317,0.0,0.0,0.0,1.0,0.009151191926938347
emergence_index,8633,0.0,0.1264017950549145,0.6884466589086761,0.7999999999999999,0.1710272583675485
emergence_index_v51,8633,0.0,0.1267968250639558,0.705028683318079,1.0,0.17281943016787654
suppression_index,2416,0.0,0.0,0.6047492827826941,0.8200000000000001,0.08765747882094323
suppression_index_v51,2409,0.0,0.0,0.5910845998747958,0.8200000000000001,0.08481970821152184
