source_id,title,url,issuing_body,source_date,legal_level,geo_scope,rule_labels,governance_orientation,evidence_summary,spatial_relevance,evidence_level,source_grounding
GOV_SEED_001,深圳市养犬管理条例（2019年修正）,https://cgj.sz.gov.cn/xsmh/cgzf/jczdfg/content/post_7147339.html,深圳市城市管理和综合执法局,2020-04-15,municipal_regulation,Shenzhen citywide,conditional_access|ban_or_restriction|exemption|enforcement|safety|hygiene|park_space,restrictive_with_conditional_outdoor_access,"The regulation defines dog registration and outdoor conduct. Outdoor activities require adult control, dog tag, leash, avoidance of vulnerable pedestrians, immediate feces removal, and injury-prevention measures in elevators. It bans dogs from multiple public places including parks and provides exemptions for guide and assistance dogs.",citywide_public_space_and_parks,official_primary_source,public_source_metadata
GOV_SEED_002,犬只能不能进入公园？,https://cgj.sz.gov.cn/xsmh/cgzf/jczdcjwt/content/post_9711096.html,深圳市城市管理和综合执法局,2022-04-18,official_faq,Shenzhen citywide parks,ban_or_restriction|exemption|park_space,restrictive,"The official FAQ states that, under Article 24 of the dog-management regulation, dogs are prohibited from listed public places including parks, except guide dogs and assistance dogs.",parks_public_fitness_and_other_public_places,official_primary_source,public_source_metadata
GOV_SEED_003,犬只进行户外活动时，携犬人应当遵守那些规定？,https://cgj.sz.gov.cn/xsmh/cgzf/jczdcjwt/content/post_12138436.html,深圳市城市管理和综合执法局,2025-04-22,official_faq,Shenzhen citywide outdoor activity,conditional_access|safety|hygiene,conditional_tolerance,"The official FAQ restates outdoor dog activity obligations: adult handler, dog tag, leash, registration certificate, avoidance of elderly people, disabled people, pregnant people and children, immediate feces removal, taxi-driver consent, and injury-prevention measures in elevators.",outdoor_activity_and_shared_mobility_space,official_primary_source,public_source_metadata
GOV_SEED_004,可以携带宠物狗进入公园吗？,https://www.sz.gov.cn/hdjl/ywzsk/csglj/srgl/content/post_7866264.html,深圳市城市管理和综合执法局 / 深圳政府在线,2020-01-13,official_knowledge_base,Jingtian North 6th Street; Shenzhen citywide parks,ban_or_restriction|exemption|pilot_pet_theme_park|planned_shared_access|park_space,restrictive_but_pilot_opening,"The government answer says dogs are generally banned from restricted public places, but identifies Jingtian North Sixth Street as a pet-theme park that allows dogs, encourages districts and streets to create pet-theme community parks, and mentions a planned park shared-access approach.",park_access_exception_and_policy_pilot,official_primary_source,public_source_metadata
GOV_SEED_005,《深圳市养犬管理条例》解读,https://cgj.sz.gov.cn/zwgk/zcjd/content/post_2140163.html,深圳市城市管理和综合执法局,2019-10-17,policy_interpretation,Shenzhen citywide,registration|conditional_access|ban_or_restriction|multi_department_governance|safety,managed_tolerance,"The policy interpretation frames Shenzhen's approach as shifting from prohibition/limitation toward regulation/management, with registration, immunization, outdoor conduct requirements, public-place restrictions, and departmental enforcement responsibilities.",citywide_governance_framework,official_primary_source,public_source_metadata
GOV_SEED_006,深圳市养犬管理规定,https://sf.sz.gov.cn/gfxwjcx/szfbmgfxwj/szbm/scghzhzfj/content/post_8236923.html,深圳市城市管理和综合执法局 / 深圳市司法局,2020-09-16,municipal_normative_document,Shenzhen citywide,registration|service_points|immunization|administrative_procedure,administrative_management,"The regulation provides administrative procedures for dog registration, including registration service points and convenient points such as pet hospitals, linking pet-service infrastructure to governance implementation.",registration_service_network,official_primary_source,public_source_metadata
GOV_SEED_007,深圳市城市管理和综合执法局关于延长《深圳市养犬管理规定》有效期的通知,https://sf.sz.gov.cn/gfxwjcx/szfbmgfxwj/szbm/scghzhzfj/content/post_12448432.html,深圳市城市管理和综合执法局 / 深圳市司法局,2025-10-22,municipal_normative_document_extension,Shenzhen citywide,policy_continuity|registration|administrative_management,administrative_continuity,"The 2025 notice extends the validity of the Shenzhen dog-management provisions to 2030-10-31, indicating continuity of the current governance apparatus.",citywide_governance_continuity,official_primary_source,public_source_metadata
GOV_SEED_008,深圳经济特区公园条例,https://www.sz.gov.cn/zfgb/2025/gb1360/content/post_11979578.html,深圳市人大常委会 / 深圳市政府公报,2025-01-06,special_economic_zone_regulation,Shenzhen citywide parks,park_space|pet_access_list|behavior_norms|safety_responsibility,conditional_opening,The park regulation requires the urban management authority to publish a list of parks where pets may be carried and to specify behavior norms for pet visits; pet carriers must assume outdoor safety-management responsibility.,park_access_list_and_behavior_rules,official_primary_source,public_source_metadata
GOV_SEED_009,《深圳经济特区公园条例》5月1日起实施,https://www.sz.gov.cn/cn/xxgk/zfxxgj/zwdt/content/post_11941469.html,深圳政府在线 / 深圳特区报,2025-01-06,government_news,Shenzhen citywide parks,park_space|pet_access_list|public_response,conditional_opening,"Government news about the park regulation states that public concerns about pet access have explicit responses, including a requirement to formulate and publish pet-carrying park lists and behavior norms.",park_policy_public_explanation,official_government_news,public_source_metadata
GOV_SEED_010,《深圳经济特区公园条例（征求意见稿）》公开征集修改意见及采纳情况说明,https://cgj.sz.gov.cn/hdjlpt/yjzj/api/attachments/view/c497714ce5b6c23cc05521855c946c98,深圳市城市管理和综合执法局,,consultation_feedback,Shenzhen citywide parks,consultation_or_public_debate|ban_or_restriction|park_space|order_management,contested_rule_making,"The consultation feedback text records draft park conduct rules, including a proposed prohibition on bringing pets into parks in violation of park management rules, alongside broader order and environmental management concerns.",park_rulemaking_process,official_consultation_attachment,public_source_metadata
