edge_family,distance_mid_m,weighted_edges,raw_edges
host-pet service,12.5,1315.81656270649,175681
host-pet service,37.5,2131.3689904864887,175681
host-pet service,62.5,3078.013969616757,175681
host-pet service,87.5,3318.4382773446223,175681
host-pet service,112.5,3625.7372213953804,175681
host-pet service,137.5,3850.474736187476,175681
host-pet service,162.5,3723.647235857992,175681
host-pet service,187.5,3625.3534925606364,175681
host-pet service,212.5,3449.5930096509146,175681
host-pet service,237.5,3382.882981300718,175681
host-pet service,262.5,3084.132457753527,175681
host-pet service,287.5,2937.341346567686,175681
host-pet service,312.5,2755.6184108799134,175681
host-pet service,337.5,2681.904460631107,175681
host-pet service,362.5,2502.5125576786595,175681
host-pet service,387.5,2386.9209028269543,175681
host-pet service,412.5,2275.0609762853055,175681
host-pet service,437.5,2164.8570077628756,175681
host-pet service,462.5,1994.4493431987212,175681
host-pet service,487.5,1919.884199187596,175681
host-rule seed,12.5,40.36213449214443,10850
host-rule seed,37.5,64.98091604910934,10850
host-rule seed,62.5,103.20581108127215,10850
host-rule seed,87.5,113.87669510769541,10850
host-rule seed,112.5,111.88990254762592,10850
host-rule seed,137.5,133.3417934798914,10850
host-rule seed,162.5,146.14560323554576,10850
host-rule seed,187.5,150.47968104985523,10850
host-rule seed,212.5,148.55958656146186,10850
host-rule seed,237.5,116.92802690812982,10850
host-rule seed,262.5,129.99493660300232,10850
host-rule seed,287.5,124.54430359495768,10850
host-rule seed,312.5,113.36442653016547,10850
host-rule seed,337.5,112.8303555709067,10850
host-rule seed,362.5,101.14235052823801,10850
host-rule seed,387.5,82.0528596646941,10850
host-rule seed,412.5,87.36599201140848,10850
host-rule seed,437.5,73.9259058905991,10850
host-rule seed,462.5,60.83780263561198,10850
host-rule seed,487.5,61.51595690169165,10850
