scenario,step,new_adopters,cumulative_adopters,adoption_share
conservative_same_type,0,1,1,6.485589021194905e-06
conservative_same_type,1,173,174,0.0011284924896879135
conservative_same_type,2,1276,1450,0.009404104080732612
conservative_same_type,3,527,1977,0.012822009494902326
conservative_same_type,4,555,2532,0.0164215114016655
balanced_threshold,0,1,1,6.485589021194905e-06
balanced_threshold,1,12642,12643,0.08199730199496719
balanced_threshold,2,66886,79529,0.5157924092666096
balanced_threshold,3,12945,92474,0.5997483591459777
balanced_threshold,4,4084,96558,0.6262355047085376
balanced_threshold,5,1301,97859,0.6346732560251122
permissive_tipping,0,1,1,6.485589021194905e-06
permissive_tipping,1,16727,16728,0.10849093314654837
permissive_tipping,2,95508,112236,0.7279165693828313
permissive_tipping,3,5853,118089,0.7658767219238851
permissive_tipping,4,853,118942,0.7714089293589644
permissive_tipping,5,156,119098,0.7724206812462708
permissive_tipping,6,89,119187,0.7729978986691571
