control_family,variable,source_file,status,model_role,reason,missingness_rule,claim_boundary
built_environment,road_density_m_per_km2,data_processed/model/grid_morphology_500m.csv,available,grid_control,General road intensity may confound commercial activity and pet-service exposure,zero_is_observed_zero_not_missing,Controls urban form only; not pet friendliness
built_environment,ped_path_density_m_per_km2,data_processed/model/grid_morphology_500m.csv,available,grid_control,Pedestrian network density may shape venue/public-space accessibility,zero_is_observed_zero_not_missing,Does not measure dog-walking quality directly
built_environment,public_space_share,data_processed/model/grid_morphology_500m.csv,available,grid_control,Public/open-space opportunity can affect pet-space rule emergence,values_above_1_need_edge_or_overlap_audit,OSM public-space proxy only
built_environment,building_coverage_share,data_processed/model/grid_morphology_500m.csv,available,grid_control,Built-up intensity may correlate with commercial/residential density,zero_is_observed_zero_not_missing,Not a human/pet co-presence measure
built_environment,building_count_per_km2,data_processed/model/grid_morphology_500m.csv,available,grid_control,Parcel/building intensity may confound host-venue density,zero_is_observed_zero_not_missing,Not building height
grid_geometry,edge_cell,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,sensitivity_exclusion,Boundary cells can distort densities and exposure,not_missing,Use edge-cell exclusion as robustness check
grid_geometry,valid_area_km2,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,weight_or_control,Small clipped grids should not dominate estimates,not_missing,Use as weight/control not substantive finding
district_context,district_name,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,fixed_effect_or_strata,District governance and market context differ,not_missing,Descriptive district contrast not causal district effect
source_quality,primary_positive_rule_count,data_processed/model/primary_source_sensitivity_grid_v1.csv,available,sensitivity_predictor,Primary-source support prevents weak-source overclaiming,blank_primary_source_ids_means_no_matched_primary_source_not_no_rule,Measures observed primary support only
source_quality,primary_source_support_class,data_processed/model/primary_source_sensitivity_grid_v1.csv,available,sensitivity_strata,Classifies whether rule support survives strict source filter,not_missing,Not proof of absence
pet_ecology,pet_service_exposure_500m,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,key_predictor,Core ecological pressure field,zero_is_observed_no_nearby_pet_service_signal,Service ecology proxy not demand
pet_ecology,pet_service_diversity_entropy_2025,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,key_predictor,Diverse pet services indicate more mature ecology,zero_can_mean_no_or_single_category_service,Proxy only
rule_visibility,positive_rule_count,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,outcome_or_predictor,Observed positive rule visibility,zero_means_not_observed_in_corpus_not_no_rule,Do not infer prohibition
rule_visibility,restrictive_rule_count,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,outcome_or_predictor,Observed restrictive rule visibility,zero_means_not_observed_in_corpus_not_no_restriction,Do not infer permission
liminality,liminal_or_frontier_hosts,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,key_predictor,Measures rule-liminal host concentration,zero_is_observed_zero_candidates,Not confirmed access
liminality,ecology_silent_hosts,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,key_predictor,Measures pet ecology with rule silence,zero_is_observed_zero_silent_hosts,Silence is non-observation not refusal
network,pet_rule_pagerank,data_processed/model/grid_emergence_suppression_indices_500m_2025_v5.csv,available,topology_control_or_predictor,Network position can affect diffusion/threshold potential,not_missing_after_merge,Topology metric not causal diffusion proof
sector_mix,primary_venue_type,data_processed/platform/rule_liminal_host_candidates_2025_v4.csv,available,host_control,Hotels malls restaurants property venues have different rule regimes,not_missing,Use sector-specific interpretation
sector_mix,tenant_or_facility_poi_count,data_processed/platform/rule_liminal_host_candidates_2025_v4.csv,available,host_control,Large host complexes are easier to observe and more likely to have policies,not_missing,Also source-visibility proxy
source_time,source_date,data_processed/platform/round_mining_evidence_ledger_v1.csv,partial,ledger_filter,Old or undated sources should be separated from current rules,missing_source_date_requires_access_date_and_pre_submission_recheck,Undated pages can be current web policy only at access date
streetview_visual,streetview_features,not_collected,unavailable,excluded_or_future_work,No compliant street-view collection yet,missing_protocol_only,Do not claim visual affordance evidence
social_sentiment,social_media_text,not_collected_by_design,excluded,excluded,User intentionally excludes social-media layer,missing_by_design,Do not claim public sentiment or user experience
osm_3d,height_or_levels,data_processed/osm/shenzhen_osm_buildings_3d.gpkg,unavailable_for_current_control,excluded_or_future_work,Free OSM clipped layer lacks usable height and levels tags,missing_is_missing_not_zero,Do not claim 3D morphology control
