district_name,grids,frontier_v51,emergent_core_v51,mean_emergence_v51,mean_suppression_v51,pet_services,host_candidates,positive_rule_grids,primary_positive_rule_grids,frontier_v51_share_of_grids
龙岗区,3314,135,2,0.13445212875089466,0.05922278956134916,479.0,12743.0,3,3,0.04073627036813519
宝安区,1726,128,2,0.19886902167557433,0.11435997880254826,443.0,14602.0,8,4,0.07415990730011587
龙华区,733,102,6,0.25927394826821487,0.16599110003191725,324.0,8269.0,5,3,0.13915416098226466
南山区,881,59,13,0.2049279975181472,0.10233006617030801,248.0,6837.0,13,6,0.06696935300794551
福田区,344,42,13,0.32036905824304573,0.17665879328635628,175.0,5970.0,16,12,0.12209302325581395
光明区,645,17,0,0.15112124794281645,0.06356025507373361,77.0,3547.0,1,1,0.02635658914728682
罗湖区,336,11,9,0.232068065826209,0.09919123602279872,101.0,3520.0,14,13,0.03273809523809524
坪山区,690,6,0,0.11293934448438306,0.02531416567835784,37.0,1560.0,1,1,0.008695652173913044
盐田区,380,3,0,0.10749523376832695,0.024993705085060356,18.0,946.0,2,1,0.007894736842105263
