district_name,grid_n,frontier_n,population_centroid_sum_screen,population_centroid_mean,frontier_population_centroid_sum_screen,frontier_population_share_screen
光明区,645,17,35819.51264147833,77.8685057423442,3740.9598236083984,0.10443916032728029
南山区,881,59,58366.489088622155,105.54518822535651,14337.517543792725,0.24564639346428757
坪山区,690,6,17908.76059503923,43.15363998804634,987.3553009033203,0.05513253112428227
宝安区,1726,128,150019.15101586678,124.70419868318103,30126.798637390137,0.20081968490945382
盐田区,380,3,7134.228291522479,50.59736376966297,410.9080123901367,0.05759670080622651
福田区,344,42,53035.42511683144,219.1546492431051,13009.258182525635,0.24529374760111028
罗湖区,336,11,32472.11700854823,170.9058789923591,3090.531448364258,0.09517492954187991
龙华区,733,102,84481.28781859577,137.36794767251345,27656.937782287598,0.3273735343816555
龙岗区,3314,135,133503.59624897188,86.0203584078427,28805.786655426025,0.21576787041530995
